date,race,class,distance,surface,condition,horse_number,horse_name,gear,horse_rating,horse_weight,hcp_weight,c_wt,bar,jockey,trainer,running_position,pl,time,lbw,,,,,,l100m_time_2,l100m_distance_2,off_rail_2,l100m_km_hr_2,,time_2,peak_km_hr_2,avg_km_hr_2,distance_traveled_2,margin_2,finish_3,no_3,horse_name_3,win_div_3,rating_3,c_weight_3,jockey_3,trainer_3,draw_3,running_pos_3,finish_time_3,lbw_3,h_weight_3
01/06/2018,4,M,1400,T,GOOD,2,ALL MY EYE,"TT, EM",53,504,58,58,2,R WOODWORTH,D KOK,11-12-2006,6,1:24.38,3.5,,,ALL MY EYE,,,5.94,101,3.2,61.2,,1:24.38,65.7,60.8,1423,nose,6,2,ALL MY EYE,$120,53,58,R WOODWORTH,D KOK,2,11-12-2006,1:24.38,3.45L,504kg
01/06/2018,4,M,1400,T,GOOD,12,LUCKY RED,B,45,456,53.5,50,8,APP N NURSHAHRIL,CT KUAH,1-1-2007,7,1:24.42,3.8,,,LUCKY RED,,,6.4,101,2,56.8,,1:24.42,68.2,60.3,1414,neck,7,12,LUCKY RED,$362,45,50,N NURSHAHRIL,CT KUAH,8,1-1-2007,1:24.42,3.75L,456kg
01/06/2018,4,M,1400,T,GOOD,8,SUN FEI,"B, TT",55,546,56.5,55.5,4,APP CC WONG,D KOH,3-3-2008,8,1:24.45,4,,,SUN FEI,,,6.43,101,6.7,56.5,,1:24.45,66.7,60.6,1421,head,8,8,SUN FEI,$20,55,55.5,CC WONG,D KOH,4,3-3-2008,1:24.45,3.95L,546kg
01/06/2018,4,M,1400,T,GOOD,1,WIRA SAKTI,"WK, TT",57,511,58,58,11,V DURIC,M WALKER,2-2-2009,9,1:24.72,5.8,,,WIRA SAKTI,,,6.57,101,2.7,55.3,,1:24.72,67.4,60.3,1417,1 3/4,9,1,WIRA SAKTI,$33,57,58,V DURIC,M WALKER,11,2-2-2009,1:24.72,5.7L,511kg
01/06/2018,4,M,1400,T,GOOD,3,O'REILLY STAR,"B, TT",53,492,58,57,3,APP MM FIRDAUS,M WALKER,7-7-2010,10,1:24.74,5.9,,,O'REILLY STAR,,,6.46,101,7.2,56.2,,1:24.74,66.3,60.1,1414,short head,10,3,O'REILLY STAR,$37,53,57,MM FIRDAUS,M WALKER,3,7-7-2010,1:24.74,5.85L,492kg
01/06/2018,4,M,1400,T,GOOD,11,WHAKAARIA MAI,,0,509,56.5,56.5,6,A COLLETT,D LOGAN,9-9-2011,11,1:25.13,8.4,,,WHAKAARIA MAI,,,6.66,101,8.7,54.5,,1:25.13,65.3,60.1,1421,2 1/2,11,11,WHAKAARIA MAI,$68,--,56.5,MS A COLLETT,MS D LOGAN,6,9-9-2011,1:25.13,8.35L,509kg
01/06/2018,4,M,1400,T,GOOD,5,RACE FOR FAME,"B, TT",37,478,58,54,7,APP N ZYRUL,RB MARSH,8-10-2012,12,1:25.35,9.7,,,RACE FOR FAME,,,6.63,101,11.2,54.8,,1:25.35,65.6,60.0,1423,1 1/4,12,5,RACE FOR FAME,$227,37,54,N ZYRUL,RB MARSH,7,8-10-2012,1:25.35,9.6L,478kg
01/06/2018,5,C5,1600,P,GOOD,7,EVERTRUST,B,33,541,54,53,1,APP CC WONG,KS TAN,1-1-2001,1,1:41.16,0,,,EVERTRUST,,,6.83,101,0.5,52.6,,1:41.16,63,57.1,1608,-,1,7,EVERTRUST,$52,33,53,CC WONG,KS TAN,1,1-1-2001,1:41.16,--,541kg
01/06/2018,5,C5,1600,P,GOOD,4,MONGOLIAN CHIEF,BP,42,458,58.5,55.5,2,APP CK NG,L KHOO,5-4-2002,2,1:41.33,1,,,MONGOLIAN CHIEF,,,6.75,101,14.4,53.8,,1:41.33,62.1,57.3,1620,1,2,4,MONGOLIAN CHIEF,$15,42,55.5,CK NG,L KHOO,2,5-4-2002,1:41.33,1L,458kg
01/06/2018,5,C5,1600,P,GOOD,5,TURQUOISE SON,B,40,517,57.5,56.5,5,TH KOH,D HILL,12-12-2003,3,1:41.47,1.8,,,TURQUOISE SON,,,6.31,100,16.1,57,,1:41.47,61.8,57.4,1623,3/4,3,5,TURQUOISE SON,$63,40,56.5,TH KOH,D HILL,5,12-12-2003,1:41.47,1.75L,517kg
